@,Latitude,Longitude,Time,Tweet,Media,Tag0,Tag1,Tag2,Tag3,Tag4,Tag5,Tag6,Tag7,Tag8
@Mohsin421,53.377,-1.49,Tue Feb 04 14:35:09 GMT 2014,RT @PakistanLFC: Who for YOU was #LFC's Player of the Month for January? #LFCPakistan,,LFC,LFCPakistan,,,,,,,
@RedDotLiverpool,53.375,-1.483,Tue Feb 04 14:35:11 GMT 2014,RT @MrBoywunder: The first Dunkin' Donuts outside of London will open in Chelmsford next Friday. Ex-#LFC player John Wark will cut the ribb…,,LFC,0,,,,,,,
@grim_el,53.387,-1.476,Tue Feb 04 14:35:13 GMT 2014,RT @LFCLatest24: W.B.Albion 1 Liverpool 1: In-Depth Tactical Analysis: By Mihail Vladimirov. Pepe  Mel made a host of chan... http://t.co/N…,,LFC,0,,,,,,,
@grim_el,53.373,-1.453,Tue Feb 04 14:35:13 GMT 2014,RT @LFC_Aggregator: Liverpool fans hit with Arsenal away tickets allocation blow http://t.co/x3GYva8KlM #LFC,,LFC,0,,,,,,,
@grim_el,53.375,-1.471,Tue Feb 04 14:35:13 GMT 2014,RT @LFCLatest24: Liverpool fans hit with Arsenal away tickets allocation blow: Liverpool fans have been hit with a massive... http://t.co/N…,,LFC,0,,,,,,,
@gerrardnum8,53.379,-1.471,Tue Feb 04 14:35:33 GMT 2014,Sebastian Coates is close to sealing a loan return to Nacional Montevideo. (talkSPORT) #LFC,,LFC,0,,,,,,,
@TheMoanyOne,53.387,-1.461,Tue Feb 04 14:35:37 GMT 2014,@Karlton81 @Jay_78_ did I read on sky he'd terminated his contract as it breached by his club over the refusal to let him sign for #lfc,,lfc,0,,,,,,,
@mslewis79,53.370018,-1.4585114,Tue Feb 04 20:36:06 GMT 2014,RT @br_uk: Debate starter from @grahamruthven. Have Liverpool outgrown their captain? http://t.co/TFHOJ6pH7P #LFC http://t.co/RpHDbslebp,8,LFC,0,,,,,,,
@Miller5Starz,53.38379,-1.4721183,Tue Feb 04 20:36:06 GMT 2014,“@Kop305: #LFC 14/15 kits http://t.co/vovDdsa8ZA” @tallica85,9,LFC,0,,,,,,,
@scouseblogs,53.370247,-1.4845374,Tue Feb 04 20:36:20 GMT 2014,Scouse Blog: Etihad = Sketihad http://t.co/hWKckQhFp6 #scouse #lfc #efc,,scouse,lfc,efc,2,,,,,
@TheMoanyOne,53.3891,-1.4835005,Tue Feb 04 20:36:24 GMT 2014,Folks must follow for all #lfc fans @YourLFCOpinion New twitter account t talking all things liverpool!,,lfc,0,1,,,,,,
@Liverpool_FFC,53.377216,-1.4538159,Tue Feb 04 20:36:25 GMT 2014,"Another Draw, Another Missed Opportunity http://t.co/HBF57koeBf #lfc #liverpoolfc",,lfc,liverpoolfc,1,,,,,,
@NeilWinnington,53.374565,-1.4860837,Tue Feb 04 20:36:32 GMT 2014,"Please look at this extract from an #LFC book I have written. http://t.co/TXkD4JyUVg ""The Importance of being a Red"" on sale now! #YNWA RT",,LFC,YNWA,1,,,,,,
