Name,Activity type,Description,,,,,,,,,
12/11/2013 12:31pm,,,,,,,,,,,
,,,,,,,,,,,
Segment,Point,Latitude (deg),Longitude (deg),Altitude (m),Bearing (deg),Accuracy (m),Speed (m/s),Time,Power (W),Cadence (rpm),Heart rate (bpm)
1,1,53.378497,-1.468925,,,46.436,,2013-11-12T12:31:17.991Z,,,
1,2,53.378497,-1.468925,,,46.971,,2013-11-12T12:31:20.869Z,,,
1,3,53.378611,-1.469179,161.1999969,,26,,2013-11-12T12:31:24.832Z,,,
1,4,53.378611,-1.469179,161.1999969,,26,,2013-11-12T12:31:25.462Z,,,
1,5,53.378852,-1.469082,188.8000031,13,22,27.8956,2013-11-12T12:31:25.820Z,,,
1,6,53.378966,-1.469019,178.6999969,15,19.492,18.3313,2013-11-12T12:31:26.846Z,,,
1,7,53.379038,-1.468943,187.5,20,19.007,14.0976,2013-11-12T12:31:27.856Z,,,
1,8,53.379069,-1.468879,209.6000061,25,18.246,10.9922,2013-11-12T12:31:28.822Z,,,
1,9,53.379049,-1.468738,181.5,44,16.282,6.6021,2013-11-12T12:31:30.828Z,,,
1,10,53.379073,-1.468688,186.8000031,45,16.91,6.017,2013-11-12T12:31:31.849Z,,,
1,11,53.379099,-1.468703,155.8999939,38,18.211,4.0825,2013-11-12T12:31:33.853Z,,,
1,12,53.379157,-1.469024,168,335,15.189,4.2019,2013-11-12T12:31:34.848Z,,,
1,13,53.379196,-1.468927,142.3999939,0,14.239,3.2904,2013-11-12T12:31:36.833Z,,,
1,14,53.379228,-1.468931,167.6999969,359,13.815,3.3226,2013-11-12T12:31:37.837Z,,,
1,15,53.379163,-1.468955,172.8999939,220,9.927,0.4696,2013-11-12T12:31:41.829Z,,,
1,16,53.379111,-1.468981,167.1000061,201,9.375,1.801,2013-11-12T12:31:42.830Z,,,
1,17,53.379155,-1.468867,189.8999939,27,6.966,1.1044,2013-11-12T12:31:47.832Z,,,
1,18,53.379201,-1.468886,194.6999969,359,7.771,2.262,2013-11-12T12:31:48.835Z,,,
1,19,53.379256,-1.468917,217.3000031,350,8.868,3.459,2013-11-12T12:31:50.307Z,,,
1,20,53.379319,-1.469016,197.6000061,333,8.821,4.8944,2013-11-12T12:31:50.888Z,,,
