Date/Time,Environment:Outdoor Dry Bulb [C](Hourly),Environment:Wind Speed [m/s](Hourly),Environment:Wind Direction [deg](Hourly),ZONE:Zone Mean Air Temperature [C](Hourly) 
 03/01  01:00:00,9.05833333333333,4.70833333333333,305.833333333333,25.6157083604439 
 03/01  02:00:00,9.15833333333333,4.20833333333333,286.666666666667,25.3607861202852 
 03/01  03:00:00,9.25833333333333,3.76666666666667,293.333333333333,25.1161009131258 
 03/01  04:00:00,9.35833333333333,3.30833333333333,315.833333333333,24.886331543356 
 03/01  05:00:00,9.75,2.51666666666667,314.166666666667,24.7017230178674 
 03/01  06:00:00,9.65,0.875,129.166666666667,24.5388798056816 
 03/01  07:00:00,9.4,0.0,0.0,24.3460574252563 
 03/01  08:00:00,9.75,0.0,0.0,24.2971363029986 
 03/01  09:00:00,10.,0.875,17.5,24.3573024387831 
 03/01  10:00:00,10.,1.85,30.,24.5280032083603 
 03/01  11:00:00,10.,1.75,216.666666666667,25.4219300074245 
 03/01  12:00:00,10.9916666666667,1.85,157.5,28.0847381764117 
 03/01  13:00:00,13.625,2.1,37.5,30.0434725887953 
 03/01  14:00:00,16.2833333333333,2.1,61.6666666666667,31.6231299627178 
 03/01  15:00:00,19.1833333333333,2.39166666666667,52.5,33.4433057295371 
 03/01  16:00:00,20.25,2.6,226.666666666667,34.0593062050032 
 03/01  17:00:00,18.7166666666667,4.99166666666667,336.666666666667,33.0256353700542 
 03/01  18:00:00,16.1666666666667,6.7,314.166666666667,30.6334239864057 
 03/01  19:00:00,13.3666666666667,6.99166666666667,310.,28.5245764268317 
 03/01  20:00:00,12.8416666666667,4.225,280.833333333333,27.7225655290885 
 03/01  21:00:00,12.3666666666667,4.49166666666667,289.166666666667,27.2596397155041 
 03/01  22:00:00,11.35,4.39166666666667,310.,26.8129076109149 
 03/01  23:00:00,11.45,2.16666666666667,321.666666666667,26.4761946302496 
 03/01  24:00:00,11.35,1.85,236.666666666667,26.1955523913172 
 03/02  01:00:00,11.1,0.875,70.8333333333333,25.9166096335484 
 03/02  02:00:00,10.8083333333333,0.0,0.0,25.6650278238481 
 03/02  03:00:00,10.8916666666667,0.0,0.0,25.4308503592917 
 03/02  04:00:00,10.4583333333333,0.0,0.0,25.2061445997108 
 03/02  05:00:00,9.65,0.0,0.0,24.9469109841807 
 03/02  06:00:00,9.4,0.0,0.0,24.7172915891463 
