Date/Time,Environment:Outdoor Dry Bulb [C](Hourly),Environment:Wind Speed [m/s](Hourly),Environment:Wind Direction [deg](Hourly),ZONE:Zone Mean Air Temperature [C](Hourly) ,ZONE:Zone Mean Air Temperature [C](Hourly) ,ZONE:Zone Mean Air Temperature [C](Hourly) 
 01/01  01:00:00,6.9916666667,1.0833333333,50,23.0257540787,23.0257540787,23.0257540787
 01/01  02:00:00,7.2,1.225,99.1666666667,22.8199400022,22.8199400022,22.8199400022
 01/01  03:00:00,6.9083333333,2.1,193.3333333333,22.5909830963,22.5909830963,22.5909830963
 01/01  04:00:00,6.35,1.75,204.1666666667,22.3412097399,22.3412097399,22.3412097399
 01/01  05:00:00,5.1083333333,2.4333333333,235,22.0631924451,22.0631924451,22.0631924451
 01/01  06:00:00,4.4,2.5166666667,213.3333333333,21.7894095184,21.7894095184,21.7894095184
 01/01  07:00:00,5.3916666667,0.875,75,21.6108478713,21.6108478713,21.6108478713
 01/01  08:00:00,5.4583333333,0,0,21.6277947565,21.6277947565,21.6277947565
 01/01  09:00:00,6.6333333333,0,0,22.9131362753,22.9131362753,22.9131362753
 01/01  10:00:00,8.4416666667,0,0,24.8501237068,24.8501237068,24.8501237068
 01/01  11:00:00,9.1916666667,0.875,17.5,26.441386909,26.441386909,26.441386909
 01/01  12:00:00,9.75,1.5,35.8333333333,27.3774795581,27.3774795581,27.3774795581
 01/01  13:00:00,10.35,1.5,45.8333333333,28.0508765555,28.0508765555,28.0508765555
 01/01  14:00:00,10.8916666667,0.625,20.8333333333,29.1127882391,29.1127882391,29.1127882391
 01/01  15:00:00,12.7333333333,0,0,30.7930038578,30.7930038578,30.7930038578
 01/01  16:00:00,13.9,1.8083333333,192.5,31.0351926426,31.0351926426,31.0351926426
 01/01  17:00:00,12.2666666667,3.1,341.6666666667,27.960540309,27.960540309,27.960540309
 01/01  18:00:00,11.1,2.1666666667,326.6666666667,25.8901031505,25.8901031505,25.8901031505
