@,Latitude,Longitude,Time,Tweet,Media,Tags0,Tags1,Tags2,Tags3,Tags4,Tags5,Tags6
@aaalexmaxwell,," ",Time: Wed Feb 12 21:02:49 GMT 2014,#opensource > google http://t.co/lWLiGIzm2R #studioOD @studioOpenData,,opensource,studioOD,,,,,
@chigi321,," ",Time: Wed Feb 12 17:04:31 GMT 2014,"RT @eastonlambro: University of Sheffield, Whole school Event #studioOD #play http://t.co/M8P1FBtZIX",1,studioOD,play,,,,,
@aimrashid,53.37746763,-1.47218249,Time: Wed Feb 12 16:34:06 GMT 2014,#studioOD process #7 - data presented http://t.co/ZRwfPssaq8,2,studioOD,,,,,,
@aimrashid,53.37742325,-1.4721919,Time: Wed Feb 12 16:33:04 GMT 2014,#studioOD process #6 - compile tweets + data http://t.co/E1V9Qufm7T,3,studioOD,,,,,,
@aimrashid,53.37742325,-1.4721919,Time: Wed Feb 12 16:31:49 GMT 2014,#studioOD process #5 - collecting + analysing tweets http://t.co/5TjkevZO0B,4,studioOD,,,,,,
@aimrashid,53.37748595,-1.47221213,Time: Wed Feb 12 16:30:28 GMT 2014,#studioOD process #4 - thinking tweets http://t.co/gw4LJQTY7h,5,studioOD,,,,,,
@PengChengzhi,," ",Time: Wed Feb 12 16:30:14 GMT 2014,@simulationBot Back to WSE base ... #studioOD #play,,studioOD,play,,,,,
@aimrashid,53.37744965,-1.47218595,Time: Wed Feb 12 16:24:27 GMT 2014,#studioOD process #3 - set up twitter http://t.co/WgKkahTwY6,7,studioOD,,,,,,
@aimrashid,53.37746913,-1.47223626,Time: Wed Feb 12 16:23:20 GMT 2014,#studioOD process #2 - briefing http://t.co/vlXzk4URGQ,8,studioOD,,,,,,
@aimrashid,53.37746913,-1.47223626,Time: Wed Feb 12 16:22:28 GMT 2014,#studioOD process #1 - prepare script http://t.co/dDK71CFOiL,9,studioOD,,,,,,
@bartjasmith,53.3872642,-1.4577505,Time: Wed Feb 12 15:45:39 GMT 2014,Community allotments? #fewerbarriersmorevegetables #studioOD #work http://t.co/1E0CleP0Ns,10,fewerbarriersmorevegetables,studioOD,work,,,,
@bartjasmith,53.3872642,-1.4577505,Time: Wed Feb 12 15:43:56 GMT 2014,Community micro manufacturing #littlemesters #studioOD #work http://t.co/TIUqfkFEYo,11,littlemesters,studioOD,work,,,,
@bartjasmith,53.3872642,-1.4577505,Time: Wed Feb 12 15:41:05 GMT 2014,#studioOD #play #opensourcealcohol http://t.co/SrCyoWJRVJ,12,studioOD,play,opensourcealcohol,,,,
@bartjasmith,53.3872642,-1.4577505,Time: Wed Feb 12 15:37:21 GMT 2014,Flexible pop up kiosk space? #studioOD #work http://t.co/fpZzVCLAwa,13,studioOD,work,,,,,
@aaalexmaxwell,53.3774007,-1.4722296,Time: Wed Feb 12 15:34:08 GMT 2014,"#studioOD goes mobile and embeds itself into the wider school, city centre @studioOpenData #designsonourcity http://t.co/q4g5pPlaKc",14,studioOD,designsonourcity,,,,,
@bartjasmith,53.3872642,-1.4577505,Time: Wed Feb 12 15:29:33 GMT 2014,Upcycling of waste industrial materials #studioOD #work #upcycle http://t.co/KumhVKik2j,15,studioOD,work,upcycle,,,,
@bartjasmith,53.3799793,-1.4627999,Time: Wed Feb 12 15:25:46 GMT 2014,Disused elevated railway transformed into park/market/what..? #studioOD #SheffieldHighline #work #rest #play http://t.co/CXMkCXMJ3p,16,studioOD,SheffieldHighline,work,rest,play,,
@eastonlambro,53.37671507,-1.47289812,Time: Wed Feb 12 15:09:41 GMT 2014,Log flume #play #studioOD http://t.co/mG4DRU4rjd,17,play,studioOD,,,,,
@aimrashid,53.37750595,-1.47228301,Time: Wed Feb 12 15:07:55 GMT 2014,#studioOD we use Twitter (sic!) http://t.co/sxq4u57Pyf,18,studioOD,,,,,,
@aimrashid,53.3775023,-1.47228935,Time: Wed Feb 12 15:06:01 GMT 2014,#studioOD twitting hard http://t.co/PTXHptQYiM,19,studioOD,,,,,,
@eastonlambro,53.37671507,-1.47289812,Time: Wed Feb 12 15:05:35 GMT 2014,Artists canvas #work #studioOD http://t.co/S2VMFm7QVQ,20,work,studioOD,,,,,
@bartjasmith,53.3799793,-1.4627999,Time: Wed Feb 12 15:05:31 GMT 2014,#fewerbarriersmorevegetables #studioOD http://t.co/uh7DRp9TrN,21,fewerbarriersmorevegetables,studioOD,,,,,
@chigi321,53.3766682,-1.4731559,Time: Wed Feb 12 15:05:19 GMT 2014,New aquarium? #studioOD http://t.co/ypBxO7zF4e,22,studioOD,,,,,,
@aimrashid,53.37746797,-1.47223548,Time: Wed Feb 12 15:04:17 GMT 2014,#studioOD BB watches You http://t.co/TPOX5tyEwm,23,studioOD,,,,,,
@aimrashid,53.37744338,-1.47223915,Time: Wed Feb 12 15:03:32 GMT 2014,#studioOD the overmind http://t.co/9nNRpzcDHZ,24,studioOD,,,,,,
@bartjasmith,53.3799793,-1.4627999,Time: Wed Feb 12 15:02:22 GMT 2014,#studioOD #play http://t.co/KHCZIuBz74,25,studioOD,play,,,,,
@chigi321,53.3766682,-1.4731559,Time: Wed Feb 12 15:02:10 GMT 2014,Wet pavements. New and innovative way of spreading light! #studioOD #outsidethebox http://t.co/GFcgmdpW7E,26,studioOD,outsidethebox,,,,,
@eastonlambro,53.3767123,-1.47286819,Time: Wed Feb 12 15:01:51 GMT 2014,Love is in the air #play #studioOD http://t.co/XkGFT62fSv,27,play,studioOD,,,,,
@eastonlambro,53.37668904,-1.47279938,Time: Wed Feb 12 15:00:48 GMT 2014,Capturing the city #play #studioOD http://t.co/sL63WNEohT,28,play,studioOD,,,,,
@eastonlambro,53.37721107,-1.47255396,Time: Wed Feb 12 14:59:31 GMT 2014,Sun #rest #studioOD http://t.co/CvbvV4DdPy,29,rest,studioOD,,,,,
@chigi321,53.3773198,-1.4727539,Time: Wed Feb 12 14:59:00 GMT 2014,New film set for Sheffield based #inception2 #studioOD http://t.co/3U4Knxravm,30,inception2,studioOD,,,,,
@eastonlambro,53.37723185,-1.47255722,Time: Wed Feb 12 14:57:10 GMT 2014,What can you do with an empty woolworths? #work #studioOD http://t.co/ytl5h7gXqN,31,work,studioOD,,,,,
@aimrashid,53.37742297,-1.47219681,Time: Wed Feb 12 14:56:37 GMT 2014,#studioOD analising it really hard http://t.co/GOfbYpmN2E,32,studioOD,,,,,,
@aimrashid,53.37746322,-1.4722274,Time: Wed Feb 12 14:55:32 GMT 2014,#studioOD analising data http://t.co/yGWAT1JfW5,33,studioOD,,,,,,
@chigi321,53.3773198,-1.4727539,Time: Wed Feb 12 14:55:21 GMT 2014,Plug your phone into to charge? #studioOD http://t.co/nwtZOtoRdS,34,studioOD,,,,,,
@PengChengzhi,," ",Time: Wed Feb 12 14:55:07 GMT 2014,@simulationBot A nice picture... #studioOD #work,,studioOD,work,,,,,
@aimrashid,53.37747406,-1.47221611,Time: Wed Feb 12 14:54:32 GMT 2014,#studioOD http://t.co/0EFfpo3WK5,36,studioOD,,,,,,
@PengChengzhi,," ",Time: Wed Feb 12 14:51:57 GMT 2014,@simulationBot Back in Arts Tower glad the sun is out at last #studiood #work,,studiood,work,,,,,
@eastonlambro,53.3768804,-1.47187603,Time: Wed Feb 12 14:51:26 GMT 2014,Love Debenhams #rest #studioOD http://t.co/w3fliroqXb,38,rest,studioOD,,,,,
