Date/Time,Environment:Outdoor Dry Bulb [C](Hourly),Environment:Wind Speed [m/s](Hourly),Environment:Wind Direction [deg](Hourly),FLOOR 0:Zone Mean Air Temperature [C](Hourly),FLOOR 1:Zone Mean Air Temperature [C](Hourly),FLOOR 2:Zone Mean Air Temperature [C](Hourly),FLOOR 3:Zone Mean Air Temperature [C](Hourly),FLOOR 4:Zone Mean Air Temperature [C](Hourly),FLOOR 5:Zone Mean Air Temperature [C](Hourly),FLOOR 6:Zone Mean Air Temperature [C](Hourly),FLOOR 7:Zone Mean Air Temperature [C](Hourly) 
 01/01  01:00:00,6.9916666667,1.0833333333,50,22.8916443488,24.5918433938,24.9284421169,25.0355408027,25.0709919633,25.1068881179,25.1025736898,23.1938690514
 01/01  02:00:00,7.2,1.225,99.1666666667,22.7253117072,24.4247991864,24.7605110637,24.8675142071,24.902009593,24.9380860002,24.9331253107,22.8139726654
 01/01  03:00:00,6.9083333333,2.1,193.3333333333,22.512384248,24.2062199954,24.5391754638,24.6452685274,24.6782786105,24.7140260519,24.7070206438,22.3907787131
 01/01  04:00:00,6.35,1.75,204.1666666667,22.2651852467,23.9571440733,24.2894799584,24.3956333684,24.4279596293,24.4638437035,24.4545772218,21.936785546
 01/01  05:00:00,5.1083333333,2.4333333333,235,21.9693000848,23.6561928275,23.985961795,24.0927372838,24.1228898363,24.1597472667,24.1460544234,21.4237928098
 01/01  06:00:00,4.4,2.5166666667,213.3333333333,21.7039979865,23.3807504047,23.7111119307,23.8146137025,23.846069956,23.8800409277,23.8648482281,20.9398006594
 01/01  07:00:00,5.3916666667,0.875,75,21.6046293191,23.2755436329,23.6106623596,23.7111873448,23.7466230182,23.7772877764,23.7621901732,20.6959023127
 01/01  08:00:00,5.4583333333,0,0,22.2982147021,23.9280186851,24.3005298981,24.366369779,24.4384513295,24.433980843,24.451028641,21.5338413624
 01/01  09:00:00,6.6333333333,0,0,25.6380581018,27.2508266378,27.6286040544,27.6993294225,27.7767356972,27.7746628505,27.7876410477,26.7142780689
 01/01  10:00:00,8.4416666667,0,0,27.2578308172,28.9056701976,29.2691339544,29.3769135934,29.4352134564,29.4654746233,29.4425423195,30.3181899677
 01/01  11:00:00,9.1916666667,0.875,17.5,27.1590992177,28.8539567167,29.2104794542,29.3426163189,29.3851380761,29.4323066293,29.3866096394,30.7670523982
 01/01  12:00:00,9.75,1.5,35.8333333333,26.3492596852,28.0658936607,28.4223593867,28.5530417251,28.5923975898,28.6403681835,28.5945554242,29.5972531463
 01/01  13:00:00,10.35,1.5,45.8333333333,26.4701617387,28.1644085334,28.5405656916,28.6564384495,28.7117207868,28.7448634254,28.7100904556,29.7819199886
 01/01  14:00:00,10.8916666667,0.625,20.8333333333,27.8780861263,29.5692497618,29.9712658986,30.0792541505,30.1537452956,30.1774005378,30.1492631857,32.3922704936
 01/01  15:00:00,12.7333333333,0,0,29.9888232937,31.672126604,32.0802725953,32.1948331977,32.2740252138,32.3026117066,32.276545002,36.4283167649
 01/01  16:00:00,13.9,1.8083333333,192.5,30.5853256144,32.2710711052,32.6288394623,32.7705038648,32.8107656767,32.8671250473,32.8083453604,37.776805113
 01/01  17:00:00,12.2666666667,3.1,341.6666666667,27.7080764117,29.4183291392,29.7308237772,29.8949514503,29.8955919335,29.9800688348,29.8911432869,32.6369535775
 01/01  18:00:00,11.1,2.1666666667,326.6666666667,25.8910941208,27.5845421746,27.9261041683,28.0553749096,28.0845770768,28.1356011284,28.0846779083,29.1530534427
 01/01  19:00:00,10.8083333333,1.5,286.6666666667,25.2083943711,26.9068942414,27.2525844759,27.3751151436,27.4087149875,27.4534910949,27.4125435839,27.7979777146
 01/01  20:00:00,10.6,1.85,229.1666666667,24.7116163745,26.416297874,26.7627574647,26.8815905523,26.9165433501,26.9581094207,26.9244354274,26.7903062668
 01/01  21:00:00,9.6083333333,2.1,200,24.2592314853,25.9724016114,26.3162147467,26.4350746868,26.4679112316,26.5099001703,26.4795981924,25.8976534751
 01/01  22:00:00,9.1916666667,2.1,229.1666666667,23.8777337799,25.5934993854,25.9396348247,26.0541870566,26.0896668063,26.1276271392,26.1045371756,25.1174546267
 01/01  23:00:00,8.4666666667,1.75,203.3333333333,23.5554617241,25.2775478735,25.6214067283,25.7369615526,25.7702848042,25.8094103723,25.7876303204,24.4658162861
 01/01  24:00:00,7.1583333333,2.1416666667,140.8333333333,23.1792295445,24.9027831205,25.245680627,25.3602028519,25.3929022174,25.4312948602,25.4113396048,23.7558068926
 01/02  01:00:00,7.9833333333,2.3083333333,90.8333333333,22.9881930592,24.7052890712,25.0525637583,25.1607761467,25.1983678374,25.2307113299,25.2170651743,23.2970787739
 01/02  02:00:00,7.2666666667,0.875,29.1666666667,22.7781180964,24.5025923068,24.8451354094,24.9588128886,24.9911872214,25.028829076,25.0100973709,22.8859260555
 01/02  03:00:00,5.8083333333,0,0,22.4391829371,24.1642618931,24.5095230913,24.6221228723,24.656307885,24.6926396567,24.6747919608,22.2894152918
 01/02  04:00:00,4.6083333333,0,0,22.1420165808,23.8656515608,24.2095529387,24.3230179995,24.3557700739,24.3930487294,24.3722176197,21.7558948123
 01/02  05:00:00,4.8916666667,0.875,110.8333333333,21.9245891772,23.6366605303,23.9826572269,24.0911904766,24.1267572174,24.1595788347,24.1394686206,21.3192275837
 01/02  06:00:00,6.5333333333,2.4333333333,137.5,21.8736039122,23.5729163905,23.9182630837,24.0236093987,24.0599122505,24.0901412092,24.0681528693,21.1375088955
 01/02  07:00:00,7.55,3.6833333333,117.5,21.8219261127,23.5113485578,23.8545225597,23.9595471338,23.9946767514,24.0249856091,23.9984452866,20.9938241705
 01/02  08:00:00,7.45,5.0333333333,130,22.4386814213,24.080846078,24.452298118,24.5247190112,24.5898156241,24.5882244394,24.5879068501,21.7372943333
 01/02  09:00:00,9.1833333333,5.9916666667,118.3333333333,25.4422729028,27.0527247822,27.426628538,27.4964086983,27.5670960078,27.5618566656,27.5583975088,26.3491009264
 01/02  10:00:00,11.2416666667,5.6166666667,115.8333333333,27.0745244826,28.7120910847,29.0719032294,29.1739307403,29.2269355674,29.2499750184,29.2125344465,29.8350718864
 01/02  11:00:00,12.9833333333,4.2666666667,108.3333333333,27.0329519961,28.713794905,29.0725187279,29.1950884803,29.2384385832,29.2751253272,29.2204294183,30.3587030495
 01/02  12:00:00,13.9,3.8916666667,100,26.5969181275,28.3026108665,28.6646753631,28.7878622996,28.8294893023,28.8679012462,28.8048130586,29.8381146042
 01/02  13:00:00,13.9,1.7083333333,41.6666666667,26.8263716494,28.511833016,28.8960914305,29.0032472334,29.0636512122,29.0854730255,29.0361707319,30.2489803048
 01/02  14:00:00,13.9,1.225,23.3333333333,27.9385591516,29.6382279842,30.0367313735,30.1483794439,30.2157230102,30.2399213901,30.1934483247,32.5153497085
 01/02  15:00:00,12.9083333333,2.1,40,29.3987759676,31.0748221858,31.4725026438,31.5827287196,31.6521676101,31.6753926048,31.6306930676,35.2461707214
 01/02  16:00:00,12.55,2.6833333333,220.8333333333,29.9919600144,31.668911228,32.0319844781,32.1613100908,32.20468615,32.2470074021,32.1816866177,36.4907879429
 01/02  17:00:00,11.8083333333,3.6833333333,355.8333333333,27.3558275781,29.0660484109,29.38190319,29.5405918846,29.5410268129,29.6175223283,29.5185773711,31.8445289131
 01/02  18:00:00,10.8083333333,1.7083333333,150,25.647690908,27.3396755616,27.6873108478,27.8091852949,27.8406808625,27.8817227018,27.8235838948,28.6161096058
 01/02  19:00:00,11.2416666667,0,0,25.0602889114,26.761955499,27.114362462,27.2317691207,27.2672533183,27.3038993246,27.2547924879,27.4235796618
 01/02  20:00:00,11.7,0.875,87.5,24.6641391939,26.3716324508,26.7229903324,26.8381901376,26.8733984148,26.9084009149,26.864738215,26.5753763453
 01/02  21:00:00,10.7083333333,1.5,109.1666666667,24.2474588585,25.9617609086,26.3097695552,26.4251665712,26.4578411939,26.4935148839,26.4525701668,25.7515918263
 01/02  22:00:00,9.3583333333,0.625,33.3333333333,23.8260430929,25.5470688203,25.8958665621,26.0099234145,26.0432246471,26.0775228458,26.0412373189,24.9448043864
 01/02  23:00:00,9.1916666667,0,0,23.5313165884,25.2561807113,25.6077874031,25.7193363686,25.7550823588,25.7867783333,25.7559110613,24.3288270035
 01/02  24:00:00,9.1083333333,0,0,23.2999134639,25.0270737429,25.3778142089,25.4892460799,25.524176072,25.5559738296,25.5263794967,23.8347591867
 01/03  01:00:00,9.1916666667,1.5166666667,52.5,23.0875896279,24.8096560043,25.1595845396,25.26832152,25.3035798701,25.3334173918,25.305442724,23.3817175836
 01/03  02:00:00,9.75,4.1166666667,90,22.9474489276,24.6609688306,25.0093400012,25.1157756768,25.150936345,25.178963101,25.1514226007,23.0501761487
